CANDIDATE_ID,TAG
c329f1dc-955c-4e24-8ddd-c1668bfd9104,Northwestern University
deb2f848-f4d3-48d5-9e65-afdcb0e7119f,UC Berkeley
2bd9419d-454e-4a49-abd4-da8182a06dc3,Stanford
7f5fef68-7585-4976-9062-74e3f56490b1,Waterloo
3bead8ac-31e0-426f-b422-f3c3b7594888,UC Berkeley
acb56aa9-6171-439b-a759-3ca36081ffef,Harvard
ebc8135e-39cd-4f89-bacd-15ccc40ce7d1,Stanford
ebc8135e-39cd-4f89-bacd-15ccc40ce7d1,Stanford Career Fair 2018
56c64001-9465-422b-b3b4-c050fe160d00,UCSD
d223ea7c-f21b-4cda-bd28-f8b33e18b721,Stanford
d223ea7c-f21b-4cda-bd28-f8b33e18b721,Stanford Career Fair 2018
d223ea7c-f21b-4cda-bd28-f8b33e18b721,OCI
c89ccd4c-c302-48ba-9da0-7a6db6f1f3fd,Stanford Career Fair 2018
c89ccd4c-c302-48ba-9da0-7a6db6f1f3fd,Stanford
b7abefdc-7219-42c5-9754-9418fe76db47,Georgia Tech
97bb34b5-642c-4303-bc6e-20d7ee3a0f67,"Unviersity of Maryland, College Park"
2f9c2f1f-f565-449c-831a-a5e0f882ca2f,MIT
2f9c2f1f-f565-449c-831a-a5e0f882ca2f,MIT Career Fair
318223ef-82ed-4925-98f0-c9c1e95a8f11,UPenn
ea5195a1-2ddc-4f90-a49c-103b6e04f864,CMU
c5678c14-bea8-4827-b93d-6bcd8fb1d5db,Stanford
c5678c14-bea8-4827-b93d-6bcd8fb1d5db,OCI
366857b5-9a55-44b2-840b-1393c9e9329d,Stanford
9f5f7184-179a-48b1-88ba-df1b3ba9590f,"Unviersity of Maryland, College Park"
53c1a836-f19c-415c-886b-f1749aa6f8d2,Emory
ae0d2243-1f3b-46b3-8da5-77fc547720ff,UC Berkeley
b05d30de-a248-45c6-9bb1-b93bd6afb421,Stanford
b05d30de-a248-45c6-9bb1-b93bd6afb421,Stanford Career Fair 2018
b05d30de-a248-45c6-9bb1-b93bd6afb421,OCI
d3ab319f-bac4-4940-895a-bdb4a45dfd86,Stanford
d3ab319f-bac4-4940-895a-bdb4a45dfd86,Stanford Career Fair 2018
d3ab319f-bac4-4940-895a-bdb4a45dfd86,OCI
3a857e6f-2af7-4763-b471-efca41f1bae6,Brown
714561d5-5433-4501-bc15-2a00ac702262,UIUC
81ca398f-6d0d-4c97-a649-9bda5cda583c,Rice University
81ca398f-6d0d-4c97-a649-9bda5cda583c,Rice CS Mixer 2018
849899bf-4fd2-42f1-897a-3dbc99007a9e,Stanford
849899bf-4fd2-42f1-897a-3dbc99007a9e,Stanford Career Fair 2018
be12d750-ad12-40ba-8d5e-38fcdda84658,MIT
1872a0de-7e15-4a34-b28b-c40ec411aa7b,University of Michigan
a1b54e93-0b8a-41f0-81d0-ae10c1e8e1ab,Stanford Career Fair 2018
a1b54e93-0b8a-41f0-81d0-ae10c1e8e1ab,Stanford
a1b54e93-0b8a-41f0-81d0-ae10c1e8e1ab,OCI
38d5abb6-931a-4440-b705-f000506e1bf6,Stanford
38d5abb6-931a-4440-b705-f000506e1bf6,Stanford Career Fair 2018
38d5abb6-931a-4440-b705-f000506e1bf6,OCI
014b2e42-96c8-4be2-86cd-8c44a9327137,UC Berkeley
4df2a077-70b2-4f8c-ae7f-15ab2b50b4cb,UC Berkeley
4df2a077-70b2-4f8c-ae7f-15ab2b50b4cb,Cal Career Fair 2018
4df2a077-70b2-4f8c-ae7f-15ab2b50b4cb,OCI
44f1029c-e131-482e-9a8d-81ea2ceada7d,MIT
44f1029c-e131-482e-9a8d-81ea2ceada7d,OCI
aade1937-0683-4957-9a1d-fc66d8031f8d,Stanford
aade1937-0683-4957-9a1d-fc66d8031f8d,Stanford Career Fair 2018
aade1937-0683-4957-9a1d-fc66d8031f8d,OCI
82c21c26-a01b-48b4-83b1-66e8da44fe98,Rice University
8520088a-a5c6-4e1f-9867-aed50abab620,UC Berkeley
5e742559-8a08-4ab9-b51a-52445f496c5a,MIT
5e742559-8a08-4ab9-b51a-52445f496c5a,MIT Career Fair
42ba05f5-2120-4e2f-ac6b-79f5bddd9975,MIT
42ba05f5-2120-4e2f-ac6b-79f5bddd9975,MIT Career Fair
6787bb3c-a9a4-40cb-9e33-17df76a8f58f,Rice University
6787bb3c-a9a4-40cb-9e33-17df76a8f58f,Rice CS Mixer 2018
6787bb3c-a9a4-40cb-9e33-17df76a8f58f,Software Engineer - New Grad
bb1c88d7-821e-496b-931d-ecf7c70e80da,MIT
bb1c88d7-821e-496b-931d-ecf7c70e80da,MIT Career Fair
22d45f51-f5cc-4b03-8fb3-7652c1770ecc,Harvard
